"Date","Header","Content"
"2024-01-18 07:58:00","'Rich Dad Poor Dad' Author Kiyosaki Gives Epic Bitcoin Price Prediction","U.Today - In a stunning turn of events  the SEC's official X account faced a security breach on Tuesday. An unauthorized post claimed that the agency had greenlit the launch of the spot Bitcoin ETF. However  SEC Chair Gary Gensler swiftly clarified that the agency had not approved any such ETFs  and the misleading post  now deleted  originated from an unauthorized user.Notably  Robert Kiyosaki  the acclaimed author of the best-selling book ""Rich Dad Poor Dad "" reacted to the news with significant commentary. Expressing enthusiasm for the prospect of a Bitcoin ETF  Kiyosaki highlighted his satisfaction with having invested in Bitcoin years ago. He boldly predicted a surge in Bitcoin's value to $150 000 shortly. Kiyosaki also foresaw a bullish trajectory for gold  attributing it to central banks' accumulating and holding the precious metal. In contrast  he anticipated a decline in silver prices as some sellers might liquidate their holdings to meet financial obligations amid rising inflation.Interestingly  Kiyosaki's optimistic outlook took a more cautious tone  suggesting a potential silver market crash. Despite the uncertainty  he declared it as a buying opportunity for silver stackers. Notably  Kiyosaki had earlier made even bolder forecasts  speculating that Bitcoin's price could soar to an unprecedented $1 million.Hack or misstep?Against the backdrop of this unexpected drama  the crypto industry is abuzz with speculation  questioning whether the compromised SEC tweet was the result of a hack or a mere mistake in post-dating. With the decision on the Bitcoin ETF looming  today's developments add an intriguing layer to an already tense situation  creating anticipation for the imminent resolution of this saga.This article was originally published on U.Today"
"2024-01-18 07:58:00","Key Reasons Why Bitcoin (BTC) Hashrate Hit Unprecedented Heights","U.Today - Bitcoin  the largest cryptocurrency by market capitalization  has set an all-time high  but not in terms of price yet.On-chain analytics platform Glassnode observes that the Bitcoin hashrate continues its aggressive expansion  achieving an ATH value of above 600 EH/s. This equates to 600 quintillion guesses every second made in an attempt to solve the block puzzle.The rise in the Bitcoin hashrate stems from the excitement surrounding the launch of the first set of Bitcoin spot ETFs in the U.S.After months of speculation  the Bitcoin asset class has entered a new era with the SEC's approval of 11 spot Bitcoin ETFs for listing and trading.Eleven spot Bitcoin ETFs began trading Thursday morning  including BlackRock (NYSE:BLK)'s iShares Bitcoin Trust  Grayscale Bitcoin Trust and ARK 21Shares Bitcoin ETF  among others  with $4.6 billion in shares changing hands shortly after.According to IntoTheBlock data  Bitcoin's on-chain volume has reached its highest level since the FTX collapse. On Wednesday  Bitcoin had a total volume of $60 billion  nearly exclusively driven by large transactions.Other Bitcoin metrics riseAccording to Glassnode  capital continues to pour into the Bitcoin asset class  with the realized cap standing at $438 billion  just 6.4% behind its all-time high. This is the greatest percentage gain in 30 days since December 2021  indicating that new demand is entering the market.Volume settled on-chain is also increasing  with over $5.7 billion in economic transfers resolved each day. This sentiment is shared by exchange flows  which is currently reaching $4.6 billion in inflows/ outflows per day  indicating a growing increase in investor activity.Futures open interest is still high at $17.6 billion  with only 146 trading days since November 2020 registering a higher figure.At the time of writing  the BTC price was down 2.95% in the last 24 hours to $45 708 after attaining highs of $49 102 in yesterday's trading session.This article was originally published on U.Today"
"2024-01-18 07:58:00","'Rich Dad Poor Dad' Author Shares How Much BTC He Bought After ETF Approval, SHIB Erases Another Zero, Ripple CEO Celebrates SEC Approval: Crypto News Digest by U.Today","U.Today - Here are the top three news stories presented to you by U.Today.""Rich Dad Poor Dad"" author reveals how much Bitcoin he bought after ETF approvalRobert Kiyosaki  financial guru and author of ""Rich Dad Poor Dad"" world-bestselling book  has recently taken to X platform to make another pessimistic market forecast. In his post  Kiyosaki invited his followers to ponder over the possible implications of the U.S. Treasury and the Federal Reserve  and the PhDs in these governmental institutions  failing to save the economy. According to the author  if the U.S. dollar crashes  the United States is likely to fall into hyperinflation. ""That's why I bought 5 more Bitcoin today "" wrote Kiyosaki  promoting the world's largest crypto as a safe-haven asset in his usual manner. At the moment of writing  five BTCs are worth $230 355 (with Bitcoin trading at $46 071). Kiyosaki's purchase likely took place after the SEC greenlit for Bitcoin spot ETFs. As a reminder  the pivotal market development took place on Jan. 10  with the regulator approving 11 Bitcoin ETF applications  including those from BlackRock (NYSE:BLK)  VanEck  Fidelity  Ark Invest and Grayscale.Shiba Inu (SHIB) erases another zeroYesterday  the Shiba Inu (SHIB) meme coin got rid of another zero in its price  to the great joy of the SHIB community. At the moment of writing  the meme coin is trading at $0.00001021  per CoinMarketCap. This achievement represents breaking barriers  reaching new peaks in market capitalization and gaining wider recognition in the crypto space. The SHIB token was one among many cryptocurrencies that saw their value increase following a significant move for the cryptocurrency industry anticipated for years - the approval of spot Bitcoin ETFs by the SEC. The positive decision of the regulator has injected a fresh wave of optimism onto the market  boosting the prices of various cryptocurrencies  including Shiba Inu. Meanwhile  SHIB lead Shytoshi Kusama unveiled his ambitious plan for the SHIB token's future  namely  the introduction of SHIB name tokens  which is aimed at bridging the gap between the traditional internet and Web 3.0.Ripple CEO celebrates SEC approvalIn a recent X post  Ripple CEO Brad Garlinghouse hailed the major milestone that has been on the lips of the entire crypto industry since Wednesday - the SEC's approval of spot Bitcoin ETFs. ""The significance of this moment cannot be overstated "" wrote Garlinghouse  congratulating everyone who had worked to bring this anticipated outcome to reality. The CEO then underlined that the spot Bitcoin ETF approval is a monumental step toward the legitimization of cryptocurrencies as an asset class  expressing hope that the move will spur further institutional adoption and investment. He expects a shift in focus from speculative trading to broader  real-world use of cryptocurrency  further establishing its position as a legitimate asset class. Garlinghouse's post gained lots of attention from the X crypto community  hitting 9 500 likes and almost 500 comments.This article was originally published on U.Today"
"2024-01-18 07:58:00","Bitcoin ETF Start Was 'Terribly Unsuccessful,' Says CNBC's Ran Neuner","U.Today - The grand debut of the Bitcoin ETF was met with mixed reactions  as reported by CNBC's Ran Neuner. The surface-level enthusiasm surrounding the $4.5 billion traded seems impressive  but a deeper analysis paints a different picture. The assertion of ""terrible unsuccessfulness"" arises from scrutinizing the composition of these trades  particularly highlighting that half of the $4.6 billion traded was tied to the Grayscale Bitcoin Trust (GBTC) and was predominantly marked by sales and outflows due to its higher fees and the dated nature of its locked-up Bitcoin.The trader suggests that instead of witnessing a flood of new capital onto the Bitcoin market  what occurred was largely an adjustment of existing positions. The crucial point here is the distinction between trade volume and new inflows  the latter being apparently negligible on the first day.Large accounts with substantial capital at their disposal tend to act with patience and precision. They are likely to avoid the initial frenzy of a new financial product's launch  waiting instead for the market to stabilize before committing significant funds. From this standpoint  the first day of trading  while not indicative of immediate success in terms of fresh inflows  is not necessarily a failure but rather a period of adjustment.Furthermore  the stability in Bitcoin's price  remaining within the $45 000 to $48 000 range even post-approval  suggests that the market is in a state of anticipation rather than reaction. This period could be seen as a stage of opportunity.Upon reflection  it seems premature to label the Bitcoin ETF launch as unsuccessful. While the initial inflows may not have met expectations  the infrastructure for large-scale investment is only just taking shape. The prudent strategy for experienced investors — waiting out initial volatility — is a classic approach that may yet bring substantial yields in the long-term future.This article was originally published on U.Today"
"2024-01-18 07:58:00","Bitcoin to $1.5 Million? Ark Invest's Cathie Wood Makes Epic BTC Price Prediction","U.Today - The cryptocurrency industry is no stranger to bold predictions  but when Ark Invest's CEO Cathie Wood speaks  investors usually listen with more caution. With a reputation for forward-thinking investment strategies  Wood has set the bar high  positing a base case for Bitcoin at $600 000 and a bull case reaching an eye-watering $1.5 million by 2030.This prediction comes amid the surge of activity on the market  amplified by the launch of the spot BTC ETF. Eric Balchunas of Bloomberg ETF noted an unprecedented 700 000 individual transactions on the ETF's first day  signaling a strong demand for the recently launched product. Despite GBTC trading at a discount  indicative of potential selling and outflow  the collective trading volume across various funds  including IBIT  FBTC and ARKB  was a staggering $4.33 billion.BTC/USD Chart by TradingViewThe options market also tells a tale of considerable activity  with 36 000 BTC options set to expire  having a notional value of $1.68 billion. Ethereum is not far behind  with 262 000 options due  pointing toward dynamic market sentiment.Turning to Bitcoin's price chart  the market has witnessed a steadfast ascent  with the cryptocurrency consistently finding support above the 50-day and 100-day EMAs — a bullish signal for traders. Current movements suggest a healthy consolidation  with potential for upside continuation.So why does Cathie Wood believe Bitcoin could reach such astronomical levels? Wood's forecast hinges on several factors. First  the growing institutional adoption positions Bitcoin not just as a store of value for encryption enthusiasts but as a tool for institutional-grade risk diversification. Bitcoin's fixed supply cap at 21 million coins starkly contrasts with the inflating supply of fiat currencies  potentially driving its value as a deflationary asset.Bitcoin's network effect  where its value increases with the number of users and transactions on the blockchain  also bolsters Wood's prediction. Coupled with technological advancements and increased accessibility  Bitcoin's trajectory seems poised for continued growth.This article was originally published on U.Today"
"2024-01-18 07:58:00","Ethereum (ETH) Shows Who's King of Alts","U.Today - Ethereum continues to assert its dominance  proving to investors and enthusiasts why it reigns supreme among altcoins. The recent price action of Ethereum paints a bullish narrative  with potential signals pointing toward an ongoing growth cycle that could redefine its market stature.Ethereum's market movement has been extremely dominant following the approval of the Bitcoin ETF  with the asset recently piercing through significant resistance levels. After a sustained period above the 50-day and 100-day EMAs  ETH has shown formidable strength. Currently  Ethereum's price hovers around $2 600  with the immediate resistance level now likely forming near the $2 700 mark  a point at which sellers previously stepped in. A decisive break above this level could open the gates for further escalation toward the $3 000 psychological barrier.ETH/USD Chart by TradingViewOn the flip side  local support can be identified at around the $2 500 level  where a confluence of the EMAs and historical price reactions provides a safety net against potential pullbacks. Should Ethereum retreat from its current levels  the $2 400 and $2 300 levels stand ready to act as secondary and tertiary support zones  where buying interest has coalesced in the past.The backdrop to this vigorous market movement is the speculation regarding the potential approval of an Ethereum ETF. The recent green light for a Bitcoin spot ETF has amplified discussions around its Ethereum counterpart. Such approval would be a significant catalyst for Ethereum  potentially drawing in a new wave of institutional and retail investment.The primary strength of a spot Ethereum ETF lies in its direct exposure to the actual asset  rather than the derivatives market that futures-based ETFs represent. This means that an ETF would purchase actual Ethereum  providing direct support to its price and reflecting true market sentiment more accurately. Moreover  it would offer investors a way to gain exposure to Ethereum without the complexities of managing cryptocurrency wallets and keys  thereby simplifying entry onto the crypto market.The approval of an Ethereum ETF would not only validate the asset's maturity and market significance but also solidify its position as a mainstay in the portfolios of diverse investors. Given Ethereum's foundational role in the development of DeFi and NFTs  an ETF would be a testament to its integral place in the digital economy.Spot Bitcoin ETF hereDespite the approval of one of the most long-awaited financial products for the cryptocurrency market  Bitcoin displayed a stoic reaction  subverting the expectations of many investors  who were bracing for a significant market upheaval. The cryptocurrency's price stability post-ETF news  while surprising to some  has been a more favorable outcome compared to the sell-off that many had predicted.The relative calmness in Bitcoin's price has provided a conducive backdrop for altcoins to shine. Ethereum (ETH) notably breached the $2 500 mark  and Solana (SOL) regained a $100 valuation  underscoring a night of triumph for alternative cryptocurrencies. This decoupling of Bitcoin's movement from altcoin performance is a phenomenon that has been increasingly observed  suggesting a maturing market where assets can thrive on individual merit and ecosystem developments.The chart at hand paints a picture of consolidation for Bitcoin  with the price hovering around the $45 000 region. The lack of a significant corrective move post-ETF news has lent a supportive floor to the broader crypto market. Trading volumes  alongside price action  indicate a steady holding pattern  a sign that the market is digesting the recent developments without panic or overenthusiasm.Despite the current stability  the market should not discount the potential for an uptick in Bitcoin’s value. Historically  actual capital inflow following such regulatory milestones has been a precursor to upward movements in the cryptocurrency's price. If history is to serve as a reference  the approval of a Bitcoin ETF may yet act as a delayed fuse  igniting a rally as new capital finds its way onto the market.Investors are advised to maintain cautious optimism. While current market conditions have not triggered the volatility many feared  the introduction of ETFs is a substantial change to the investment landscape of Bitcoin. As traditional investors and institutions increasingly engage with Bitcoin through these new financial products  the potential for a significant impact on the cryptocurrency’s value trajectory is tangible. This article was originally published on U.Today"
"2024-01-18 07:58:00","Anthony Scaramucci Shares Strategy for Bitcoin ETF","U.Today - Anthony Scaramucci  founder and CEO of SkyBridge Capital  stated on Thursday that the SEC's approval of the first spot Bitcoin exchange-traded funds should be regarded as a watershed moment for Bitcoin.Speaking to CNBC  Scaramucci reveals his Bitcoin ETF strategy  indicating his intention to purchase a U.S. Bitcoin ETF now that it has been approved.The Securities and Exchange Commission of the United States (SEC) adopted rule changes on Wednesday that will allow the launch of Bitcoin ETFs in the United States.""I will be  yes. I'll be a ceremonial buyer "" Scaramucci responded when asked if he would buy Bitcoin ETF.The Skybridge Capital CEO also stated that his New York-based hedge fund unexpectedly saw its best year ever in 2023 after ""incrementally buying"" Bitcoin  Ethereum and Solana.Bitcoin was trading up 7% at $48 118 at press time  according to CoinMarketCap  and the SEC’s decision has many analysts bullish about the newly unlocked potential for massive gains.Expressing bullish expectations for 2024  Scaramucci believes Bitcoin might reach its all-time high by the end of the year and will likely surpass it by this time next year.Bitcoin attained its present all-time high of nearly $69 000 in November 2021.Bitcoin ""now public good""As the company launches its first Bitcoin exchange-traded fund  Ark Invest President and COO Tom Staudt believes Bitcoin is now a ""public good"" to which all investors should have access.The new ETF from Cathie Wood's Ark Invest and partner 21Shares will have a 0.21% fee  making it one of the most affordable products in the newly created market.The ARK 21Shares Bitcoin ETF  along with the Bitwise Bitcoin ETF  the Fidelity Wise Origin Bitcoin Trust  the WisdomTree Bitcoin Fund  the Invesco Galaxy Bitcoin ETF and the Valkyrie Bitcoin Fund  comprise the six initially waived fees. Only Bitwise's offering will be less expensive for investors  with fees starting at 0.2%.This article was originally published on U.Today"
"2024-01-18 07:58:00","SEC Officially Approves Spot Bitcoin ETFs, DOGE Shines as Elon Musk's X Prepares to Launch P2P Payments, Ripple Initiates Massive Buyback: Crypto News Digest by U.Today","U.Today - Check out U.Today's top three news stories over the past day.SEC officially approves spot Bitcoin ETFsIn a crucial development for the crypto sphere  the SEC has officially approved several spot Bitcoin exchange-traded funds (ETFs). Thanks to these ETFs  investors will be able to gain Bitcoin exposure without the complexities of direct ownership. James Seyfart  ETF analyst  shared the list of 11 trusts whose filings have been approved; among others  the list includes Grayscale Bitcoin Trust  Bitwise Bitcoin ETF and the Hashdex Bitcoin ETF. The BTC price seemed to remain unfazed right after the approval news; however  later today  the largest crypto has managed to climb to the high of $47 000. At the moment of writing  Bitcoin is changing hands at $48 108  up 6.45% over the past 24 hours.Dogecoin (DOGE) shines as Elon Musk’s X prepares to launch P2P paymentsAccording to the latest post on X platform's official blog  it will launch peer-to-peer payments this year; the option was listed among other areas of the company's focus for the year 2024. As stated in the post  the payments would unlock ""more user utility and opportunities for commerce."" The crypto community's attention is now drawn to Dogecoin (DOGE)  as Elon Musk  the owner of the X platform  has endorsed the dog-themed coin numerous times  saying that it is better suited for payments than Bitcoin (BTC). However  the details on how the peer-to-peer payments will work on X and when they will officially launch remain unknown.Ripple initiates massive buybackAs recently announced by Ripple Labs  it is buying back a substantial amount of its shares. According to two anonymous sources cited by Reuters in its Wednesday report  the company is set to repurchase $285 million worth of shares from early investors and employees. Repurchasing shares is Ripple's strategic action aimed at bolstering investor confidence and asserting its financial stability. Investors are only allowed to sell up to 6% of their interest during a repurchase. This restriction is a savvy approach to maintaining a balanced shareholder structure. This is not the first time Ripple is venturing into buybacks. In early January 2022  the company had previously repurchased shares issued after securing $200 million in funding in 2019.This article was originally published on U.Today"
"2024-01-18 07:58:00","BlackRock's Bitcoin ETF IBIT Records First Millions in Volume, But There May Be a Catch","U.Today - BlackRock (NYSE:BLK)'s iShares Bitcoin Trust (IBIT) has recorded an impressive $2 million worth of shares traded during the premarket hours  according to Eric Balchunas  Senior ETF Analyst at Bloomberg. The most remarkable aspect is not only the substantial volume but the timing — 6:00 a.m. on the premarket  setting a promising tone for what could be a monumental day.The SEC declared the registration statement for BlackRock's spot Bitcoin ETF effective yesterday  along with the approval of 10 other applications. IBIT  designed to track the BTC price  is poised to commence trading on the Nasdaq today  adding a new dimension to the crypto investment landscape.While the impressive early volume indicates a strong start  analysts remain cautious  speculating that this trading activity may be part of a carefully orchestrated plan by BlackRock  slowly loading the BYOA funds it had lined up. As the premarket activity unfolds  the iShares Bitcoin Trust (IBIT) is already making waves  trading at an impressive 23.21% surge  reaching $27.02 on the Nasdaq  according to data from Yahoo Finance. This early momentum suggests a bullish start for the ETF on its debut day.BlackRock's Bitcoin ETF buzzAccording to industry sources  there is a possibility of BlackRock having already secured a staggering $2 billion in capital from Bitcoin holders eager to dive into the spot Bitcoin ETF in its first week post-launch. If this hearsay proves accurate  the influx of $2 billion would shatter all existing records for first-day and first-week inflows for ETFs.The anticipation surrounding IBIT's debut is palpable  with market participants eagerly awaiting the opening of the U.S. stock markets in just over two hours.This article was originally published on U.Today"
"2024-01-18 07:58:00","3 Epic Bitcoin (BTC) Predictions Shared by S2F Founder","U.Today - Stock-2-Flow (S2F) model creator PlanB is all in on his Bitcoin (BTC) advocacy campaign once again  as he shared three new bullish price targets.Potential Bitcoin price targetsAccording to PlanB  Bitcoin’s price is likely to soar to $55 000 before the next halving event. This halving event is slated to take place in April  and the Bitcoin block reward is bound to reduce by 50% to 3.125 BTC. Throughout history  there has been a major buying frenzy ahead of these halving events  underscoring the projection from PlanB.Later this year  PlanB expects the price of Bitcoin to soar beyond the all-time high (ATH) to a high of $100 000. It is worth noting that this price target has been PlanB’s call for some time now. The difference this time is the presence of spot Bitcoin Exchange Traded Funds (ETFs) following the historic approval granted by the United States Securities and Exchange Commission (SEC) on Jan. 10.In the long term  PlanB said he expects the price of the top cryptocurrency to touch a high of $532 000. The veteran trader pegged the timeline for this extremely bullish price call in 2025. As revealed in the accompanying YouTube Video  PlanB backed his price forecasts using his iconic Stock-2-Flow model  thus granting additional legitimacy to the projections as a whole.PlanB’s has relatively conservative outlookBullish as the call from PlanB is  it is relatively conservative when compared to other major Bitcoin bulls like Samson Mow.The top Bitcoin investor believes the spot Bitcoin ETF products will catalyze the price of Bitcoin to $1 million per coin in the long term. While this is a far cry from the coin’s current price of $46 257.75  Samson Mow stands by his predictions  and he wants a lone accolade when the coin hits that historic high.This article was originally published on U.Today"
